"key","pref","city","kcity","rcom","pref_name","city_name","kcity_name","rcom_name","JAうま","JAえひめ中央","JAえひめ南","JAえひめ未来","JAおちいまばり","JAにしうわ","JAひがしうわ","JA今治立花","JA周桑","JA愛媛たいき","JA松山市"
"3820106006","38","201","06","006","愛媛県","松山市","湯山村","宿野々",0,1,0,0,0,0,0,0,0,0,1
"3820106007","38","201","06","007","愛媛県","松山市","湯山村","杉立",0,1,0,0,0,0,0,0,0,0,1
"3820106008","38","201","06","008","愛媛県","松山市","湯山村","柳",0,1,0,0,0,0,0,0,0,0,1
"3820106009","38","201","06","009","愛媛県","松山市","湯山村","玉谷",0,1,0,0,0,0,0,0,0,0,1
"3820106010","38","201","06","010","愛媛県","松山市","湯山村","青波",0,1,0,0,0,0,0,0,0,0,1
"3820106011","38","201","06","011","愛媛県","松山市","湯山村","藤野々",0,1,0,0,0,0,0,0,0,0,1
"3820106012","38","201","06","012","愛媛県","松山市","湯山村","水口",0,1,0,0,0,0,0,0,0,0,1
"3820106013","38","201","06","013","愛媛県","松山市","湯山村","河中",0,1,0,0,0,0,0,0,0,0,1
"3820106014","38","201","06","014","愛媛県","松山市","湯山村","東川",0,1,0,0,0,0,0,0,0,0,1
"3820106015","38","201","06","015","愛媛県","松山市","湯山村","大井野",0,1,0,0,0,0,0,0,0,0,1
"3820106016","38","201","06","016","愛媛県","松山市","湯山村","米野々",0,1,0,0,0,0,0,0,0,0,1
"3820106017","38","201","06","017","愛媛県","松山市","湯山村","福見川，今治谷",0,1,0,0,0,0,0,0,0,0,1
"3820106018","38","201","06","018","愛媛県","松山市","湯山村","川之郷",0,1,0,0,0,0,0,0,0,0,1
"3820107001","38","201","07","001","愛媛県","松山市","五明村","菅沢",0,1,0,0,0,0,0,0,0,0,1
"3820107002","38","201","07","002","愛媛県","松山市","五明村","城山",0,1,0,0,0,0,0,0,0,0,1
"3820107003","38","201","07","003","愛媛県","松山市","五明村","柳谷",0,1,0,0,0,0,0,0,0,0,1
"3820107004","38","201","07","004","愛媛県","松山市","五明村","恩地",0,1,0,0,0,0,0,0,0,0,1
"3820107005","38","201","07","005","愛媛県","松山市","五明村","梅ノ木",0,1,0,0,0,0,0,0,0,0,1
"3820107006","38","201","07","006","愛媛県","松山市","五明村","上総",0,1,0,0,0,0,0,0,0,0,1
"3820107007","38","201","07","007","愛媛県","松山市","五明村","神次郎",0,1,0,0,0,0,0,0,0,0,1
"3820108001","38","201","08","001","愛媛県","松山市","伊台村","下伊台",0,1,0,0,0,0,0,0,0,0,1
"3820108002","38","201","08","002","愛媛県","松山市","伊台村","上伊台",0,1,0,0,0,0,0,0,0,0,1
"3820109001","38","201","09","001","愛媛県","松山市","小野村","小屋峠",0,1,0,0,0,0,0,0,0,0,1
"3820109002","38","201","09","002","愛媛県","松山市","小野村","駄場",0,1,0,0,0,0,0,0,0,0,1
"3820109003","38","201","09","003","愛媛県","松山市","小野村","北梅本",0,1,0,0,0,0,0,0,0,0,1
"3820109004","38","201","09","004","愛媛県","松山市","小野村","大尺寺",0,1,0,0,0,0,0,0,0,0,1
"3820109005","38","201","09","005","愛媛県","松山市","小野村","大野",0,1,0,0,0,0,0,0,0,0,1
"3820109006","38","201","09","006","愛媛県","松山市","小野村","向井",0,1,0,0,0,0,0,0,0,0,1
"3820109007","38","201","09","007","愛媛県","松山市","小野村","南梅本",0,1,0,0,0,0,0,0,0,0,1
"3820109008","38","201","09","008","愛媛県","松山市","小野村","水泥",0,1,0,0,0,0,0,0,0,0,1
"3820109009","38","201","09","009","愛媛県","松山市","小野村","平井",0,1,0,0,0,0,0,0,0,0,1
"3820109010","38","201","09","010","愛媛県","松山市","小野村","畑中",0,1,0,0,0,0,0,0,0,0,1
"3820109011","38","201","09","011","愛媛県","松山市","小野村","下刈屋",0,1,0,0,0,0,0,0,0,0,1
"3820109012","38","201","09","012","愛媛県","松山市","小野村","上刈屋",0,1,0,0,0,0,0,0,0,0,1
"3820109013","38","201","09","013","愛媛県","松山市","小野村","今吉",0,1,0,0,0,0,0,0,0,0,1
"3820109014","38","201","09","014","愛媛県","松山市","小野村","五楽",0,1,0,0,0,0,0,0,0,0,1
"3820110001","38","201","10","001","愛媛県","松山市","石井村","土居",0,1,0,0,0,0,0,0,0,0,1
"3820110002","38","201","10","002","愛媛県","松山市","石井村","今在家",0,1,0,0,0,0,0,0,0,0,1
"3820110003","38","201","10","003","愛媛県","松山市","石井村","北土居",0,1,0,0,0,0,0,0,0,0,1
"3820110004","38","201","10","004","愛媛県","松山市","石井村","越智",0,1,0,0,0,0,0,0,0,0,1
"3820110005","38","201","10","005","愛媛県","松山市","石井村","北井門",0,1,0,0,0,0,0,0,0,0,1
"3820110006","38","201","10","006","愛媛県","松山市","石井村","居相",0,1,0,0,0,0,0,0,0,0,1
"3820110007","38","201","10","007","愛媛県","松山市","石井村","古川",0,1,0,0,0,0,0,0,0,0,1
"3820110008","38","201","10","008","愛媛県","松山市","石井村","星岡",0,1,0,0,0,0,0,0,0,0,1
"3820110009","38","201","10","009","愛媛県","松山市","石井村","東石井",0,1,0,0,0,0,0,0,0,0,1
"3820110010","38","201","10","010","愛媛県","松山市","石井村","西石井",0,1,0,0,0,0,0,0,0,0,1
"3820110011","38","201","10","011","愛媛県","松山市","石井村","天山",0,1,0,0,0,0,0,0,0,0,1
"3820110012","38","201","10","012","愛媛県","松山市","石井村","朝生田",0,1,0,0,0,0,0,0,0,0,1
"3820110013","38","201","10","013","愛媛県","松山市","石井村","和泉",0,1,0,0,0,0,0,0,0,0,1
"3820111001","38","201","11","001","愛媛県","松山市","荏原村","矢谷",0,1,0,0,0,0,0,0,0,0,1
"3820111002","38","201","11","002","愛媛県","松山市","荏原村","井関",0,1,0,0,0,0,0,0,0,0,1
"3820111003","38","201","11","003","愛媛県","松山市","荏原村","岡本",0,1,0,0,0,0,0,0,0,0,1
"3820111004","38","201","11","004","愛媛県","松山市","荏原村","町組",0,1,0,0,0,0,0,0,0,0,1
"3820111005","38","201","11","005","愛媛県","松山市","荏原村","六町",0,1,0,0,0,0,0,0,0,0,1
"3820111006","38","201","11","006","愛媛県","松山市","荏原村","政友",0,1,0,0,0,0,0,0,0,0,1
"3820111007","38","201","11","007","愛媛県","松山市","荏原村","西組上",0,1,0,0,0,0,0,0,0,0,1
"3820111008","38","201","11","008","愛媛県","松山市","荏原村","西組下",0,1,0,0,0,0,0,0,0,0,1
"3820111009","38","201","11","009","愛媛県","松山市","荏原村","東組",0,1,0,0,0,0,0,0,0,0,1
"3820111010","38","201","11","010","愛媛県","松山市","荏原村","養下",0,1,0,0,0,0,0,0,0,0,1
"3820111011","38","201","11","011","愛媛県","松山市","荏原村","本村",0,1,0,0,0,0,0,0,0,0,1
"3820111012","38","201","11","012","愛媛県","松山市","荏原村","上の原",0,1,0,0,0,0,0,0,0,0,1
"3820111013","38","201","11","013","愛媛県","松山市","荏原村","大橋",0,1,0,0,0,0,0,0,0,0,1
"3820111014","38","201","11","014","愛媛県","松山市","荏原村","小村",0,1,0,0,0,0,0,0,0,0,1
"3820111015","38","201","11","015","愛媛県","松山市","荏原村","一木",0,1,0,0,0,0,0,0,0,0,1
"3820111016","38","201","11","016","愛媛県","松山市","荏原村","中組南",0,1,0,0,0,0,0,0,0,0,1
"3820111017","38","201","11","017","愛媛県","松山市","荏原村","中組北",0,1,0,0,0,0,0,0,0,0,1
